name,scenario,total frames,starting frame of anomaly,ending frame of anomaly
Robbery_17,shop,503,40,110
Robbery_18,shop,355,80,355
Robbery_19,shop,1958,330,1958
Robbery_20,shop,1919,16,1090
Robbery_21,shop,753,100,600
Robbery_22,shop,831,288,635
Robbery_23,shop,226,1,226
Robbery_24,shop,451,1,451
Robbery_25,shop,573,1,480
Robbery_26,office,1269,880,1250
Robbery_27,shop,563,1,520
Robbery_28,shop,716,1,716
Robbery_29,shop,318,60,318
Shooting_1,mall,379,35,300
Shooting_2,sidewalk,237,86,223
Shooting_3,office,224,12,224
Shooting_4,office,284,1,284
Shooting_5,sidewalk,177,1,177
Shooting_6,parkinglot,309,30,250
Shooting_7,office,1173,70,1145
Shooting_8,frontdoor,105,1,105
Shooting_9,frontdoor,234,30,234
Shooting_10,road,903,130,420
Shooting_11,frontdoor,718,300,718
Shooting_12,frontdoor,224,125,224
Shooting_13,parkinglot,413,130,413
Shooting_14,shop,647,143,647
Shooting_15,road,1126,820,1030
Shooting_16,parkinglot,243,1,243
Shooting_17,frontdoor,505,230,505
Traffic_accident_1,shop,270,90,270
Traffic_accident_2,road,366,170,366
Traffic_accident_3,road,719,35,250
Traffic_accident_4,restaurant,336,1,80
Traffic_accident_5,restaurant,250,160,250
Traffic_accident_6,sidewalk,661,380,661
Traffic_accident_7,restaurant,358,60,220
Traffic_accident_8,road,354,10,210
Traffic_accident_9,shop,531,20,140
Traffic_accident_10,frontdoor,337,70,337
Traffic_accident_11,sidewalk,293,100,293
Traffic_accident_12,shop,387,50,387
Traffic_accident_13,sidewalk,345,175,345
Traffic_accident_14,restaurant,212,35,212
Traffic_accident_15,sidewalk,360,126,360
Traffic_accident_16,frontdoor,253,90,160
Traffic_accident_17,frontdoor,367,30,367
Traffic_accident_18,frontdoor,639,31,300
Traffic_accident_19,parkinglot,235,1,235
Traffic_accident_20,road,431,325,431
Traffic_accident_21,frontdoor,694,115,170
Traffic_accident_22,sidewalk,622,1,100
Traffic_accident_23,frontdoor,450,125,450
Traffic_accident_24,frontdoor,240,30,125
Traffic_accident_25,frontdoor,274,70,274
Traffic_accident_26,train,203,30,162
Traffic_accident_27,train,233,37,112
Traffic_accident_28,sidewalk,635,180,635
Traffic_accident_29,sidewalk,388,175,388
Traffic_accident_30,road,355,136,355
Traffic_accident_31,shop,483,254,360
Traffic_accident_32,sidewalk,389,220,325
Traffic_accident_33,frontdoor,462,244,351
Traffic_accident_34,road,276,75,180
Traffic_accident_35,road,405,205,265
Traffic_accident_36,frontdoor,250,1,115
Traffic_accident_37,road,223,84,126
Traffic_accident_38,sidewalk,693,385,540
Traffic_accident_39,parkinglot,503,145,200
Vandalism_1,mall,1003,721,821
Vandalism_2,office,574,85,225
Vandalism_3,shop,407,54,407
Vandalism_4,parkinglot,654,501,536
Vandalism_5,frontdoor,386,217,322
Vandalism_6,frontdoor,623,88,570
Vandalism_7,office,629,80,384
Vandalism_8,shop,2038,211,1578
Vandalism_9,frontdoor,462,50,266
Vandalism_10,frontdoor,783,390,495
Vandalism_11,shop,353,1,353
Vandalism_12,frontdoor,383,1,383
Water_incident_1,office,299,1,299
Water_incident_2,warehouse,241,22,241
Water_incident_3,office,742,1,742
Water_incident_4,office,759,1,759
Water_incident_5,office,1172,1,1172
Water_incident_6,frontdoor,779,1,779
Water_incident_7,frontdoor,837,422,837
Water_incident_8,sidewalk,594,1,594
Water_incident_9,road,429,1,429
Water_incident_10,frontdoor,990,635,990
